,non_native
1394_01,1664
1394_02,2027
1394_03,2186
1394_04,1800
1394_05,2216
1394_06,2341
1394_07,1971
1394_08,2136
1394_09,2182
1394_10,2085
1394_11,2272
1394_12,2172
1395_01,2116
1395_02,2688
1395_03,2912
1395_04,2387
1395_05,2864
1395_06,2563
1395_07,2408
1395_08,2608
1395_09,2281
1395_10,2386
1395_11,2286
1395_12,2210
1396_01,1828
1396_02,2565
1396_03,2347
1396_04,2727
1396_05,2945
1396_06,2781
1396_07,2532
1396_08,2532
1396_09,2556
1396_10,2691
1396_11,2725
1396_12,2463
1397_01,2118
1397_02,3040
1397_03,2489
1397_04,3488
1397_05,3270
1397_06,3067
1397_07,3161
1397_08,2781
1397_09,2923
1397_10,2976
1397_11,2756
1397_12,2781
1398_01,2163
1398_02,3049
1398_03,2904
1398_04,3755
1398_05,3224
1398_06,3291
1398_07,2946
1398_08,2908
1398_09,2838
1398_10,2814
1398_11,2807
1398_12,1193
1399_01,569
1399_02,1344
1399_03,1925
1399_04,2362
1399_05,2414
1399_06,2684
1399_07,2354
1399_08,1396
1399_09,1403
1399_10,2138
1399_11,2297
1399_12,2407
1400_01,1992
1400_02,2122
1400_03,3277
1400_04,2873
1400_05,2523
1400_06,3178
1400_07,3102
1400_08,3420
1400_09,3295
1400_10,2938
1400_11,2870
1400_12,2780
1401_01,2319
1401_02,2901
1401_03,3933
1401_04,3519
1401_05,3583
1401_06,3870
1401_07,3162
1401_08,3581
1401_09,3570
1401_10,3049
1401_11,3122
1401_12,3228
